Hdelta_6_2	Hdelta_6_2	Hdelta_6_2	Hgamma_5_2	Hgamma_5_2	Hgamma_5_2	Hbeta_4_2	Hbeta_4_2	Hbeta_4_2	Halpha_3_2	Halpha_3_2	Halpha_3_2
a		b		c		a		b		c		a		b		c		a		b		c
0.3629		-15.34		0.3598		0.3629		-15.15		0.3598		0.2384		-15.15		0.3082		0.4155		-14.8		0.4209
0.8351		-15.34		0.6533		0.8351		-15.15		0.6533		0.6964		-14.8		0.4978		2.4965		-14.03		0.5853
2.0044		-15.34		0.7281		2.0044		-15.15		0.7281		0.1991		-15.15		0.6017		2.4063		-14.03		0.6187
1.4757		-15.34		0.7809		1.4757		-15.15		0.7809		0.1409		-15.15		0.6765		0.2914		-14.8		0.6766
2.7947		-15.34		0.8582		2.7947		-15.15		0.8582		0.2201		-15.15		0.7293		0.3685		-14.8		0.7076
nan		nan		nan		nan		nan		nan		1.9228		-14.8		0.7535		4.6426		-14.03		0.7788
nan		nan		nan		nan		nan		nan		1.4845		-14.8		0.7845		nan		nan		nan		
nan		nan		nan		nan		nan		nan		2.8179		-14.8		0.9352		nan		nan		nan		

